index,unixTimestamp,TP9,AF7,AF8,TP10
0,1746312965277.25,-0.48828125,0,0,-0.48828125
1,1746312965281.1562,-0.48828125,0,0,0
2,1746312965285.0625,0.48828125,-1.46484375,-1.953125,3.90625
3,1746312965288.9688,-1.953125,2.9296875,3.41796875,-10.25390625
4,1746312965292.875,9.27734375,-18.06640625,-19.53125,56.640625
5,1746312965296.7812,27.83203125,-46.38671875,-49.31640625,130.37109375
6,1746312965300.6875,26.85546875,-47.8515625,-42.96875,121.58203125
7,1746312965304.5938,14.6484375,-52.24609375,-39.55078125,122.55859375
8,1746312965308.5,10.25390625,-54.19921875,-40.0390625,101.5625
9,1746312965312.4062,16.11328125,-52.24609375,-40.52734375,90.8203125
10,1746312965316.3125,6.8359375,-49.8046875,-39.55078125,87.40234375
11,1746312965320.2188,11.23046875,-52.734375,-39.0625,93.75
0,1746312965324.125,12.6953125,-62.01171875,-41.9921875,105.95703125
1,1746312965328.0312,3.41796875,-63.4765625,-42.48046875,76.171875
2,1746312965331.9375,2.9296875,-61.03515625,-39.0625,42.96875
3,1746312965335.8438,13.18359375,-62.01171875,-36.1328125,57.12890625
4,1746312965339.75,6.34765625,-65.4296875,-37.59765625,65.91796875
5,1746312965343.6562,-3.41796875,-62.98828125,-41.50390625,70.80078125
6,1746312965347.5625,2.44140625,-59.5703125,-37.109375,56.640625
7,1746312965351.4688,-7.8125,-62.01171875,-35.64453125,33.69140625
8,1746312965355.375,-11.23046875,-58.10546875,-36.62109375,34.66796875
9,1746312965359.2812,-1.46484375,-54.6875,-33.203125,35.15625
10,1746312965363.1875,-2.44140625,-59.5703125,-31.73828125,34.1796875
11,1746312965367.0938,-4.8828125,-54.19921875,-32.2265625,54.6875
0,1746312965371,-7.32421875,-53.22265625,-38.0859375,63.96484375
1,1746312965374.9062,-7.32421875,-56.640625,-42.48046875,34.1796875
2,1746312965378.8125,-9.27734375,-57.6171875,-40.0390625,10.7421875
3,1746312965382.7188,-14.16015625,-60.546875,-31.73828125,5.37109375
4,1746312965386.625,-14.6484375,-53.7109375,-39.0625,14.16015625
5,1746312965390.5312,-16.6015625,-49.31640625,-39.0625,36.62109375
6,1746312965394.4375,-14.16015625,-51.7578125,-18.5546875,27.83203125
7,1746312965398.3438,-19.53125,-47.36328125,-41.50390625,25.390625
8,1746312965402.25,-17.08984375,-47.8515625,-45.41015625,48.33984375
9,1746312965406.1562,-17.08984375,-49.8046875,-14.6484375,44.43359375
10,1746312965410.0625,-20.99609375,-44.921875,-14.16015625,22.4609375
11,1746312965413.9688,-11.71875,-44.921875,-19.53125,19.53125
0,1746312965417.875,-11.71875,-47.36328125,-25.87890625,30.76171875
1,1746312965421.7812,-22.4609375,-50.29296875,-27.34375,16.11328125
2,1746312965425.6875,-30.76171875,-49.31640625,-34.1796875,8.30078125
3,1746312965429.5938,-33.203125,-48.828125,-33.69140625,5.859375
4,1746312965433.5,-36.62109375,-46.38671875,-29.78515625,18.5546875
5,1746312965437.4062,-40.0390625,-44.921875,-41.50390625,0
6,1746312965441.3125,-38.0859375,-46.38671875,-42.96875,-31.25
7,1746312965445.2188,-43.9453125,-43.45703125,-34.66796875,-33.69140625
8,1746312965449.125,-49.31640625,-42.96875,-39.0625,-49.8046875
9,1746312965453.0312,-57.12890625,-39.55078125,-30.76171875,-49.8046875
10,1746312965456.9375,-75.68359375,-40.52734375,-23.92578125,-35.15625
11,1746312965460.8438,-86.9140625,-40.52734375,-28.80859375,-37.59765625
0,1746312965464.75,-75.1953125,-34.66796875,-35.64453125,-53.7109375
1,1746312965468.6562,-74.21875,-35.64453125,-48.828125,-65.91796875
2,1746312965472.5625,-83.49609375,-40.0390625,-30.2734375,-56.640625
3,1746312965476.4688,-96.6796875,-42.96875,-22.4609375,-67.3828125
4,1746312965480.375,-113.28125,-48.33984375,-34.66796875,-102.05078125
5,1746312965484.2812,-109.375,-46.38671875,-7.8125,-99.609375
6,1746312965488.1875,-113.28125,-43.9453125,7.32421875,-90.33203125
7,1746312965492.0938,-119.62890625,-41.9921875,-4.39453125,-104.98046875
8,1746312965496,-122.0703125,-35.15625,-11.71875,-109.375
9,1746312965499.9062,-116.2109375,-32.71484375,-12.6953125,-98.14453125
10,1746312965503.8125,-100.09765625,-35.15625,-15.13671875,-89.35546875
11,1746312965507.7188,-98.14453125,-41.50390625,-20.01953125,-75.68359375
0,1746312965511.625,-104.00390625,-39.55078125,-11.23046875,-80.078125
1,1746312965515.5312,-107.421875,-36.1328125,-12.20703125,-86.9140625
2,1746312965519.4375,-123.046875,-33.203125,-21.484375,-75.68359375
3,1746312965523.3438,-109.86328125,-30.2734375,-24.90234375,-70.80078125
4,1746312965527.25,-87.890625,-38.57421875,-16.6015625,-72.75390625
5,1746312965531.1562,-82.03125,-42.96875,-20.99609375,-82.51953125
6,1746312965535.0625,-75.68359375,-40.0390625,-26.85546875,-85.9375
7,1746312965538.9688,-63.96484375,-36.1328125,-17.08984375,-60.05859375
8,1746312965542.875,-50.78125,-38.57421875,-20.99609375,-42.48046875
9,1746312965546.7812,-46.38671875,-44.43359375,-36.1328125,-25.87890625
10,1746312965550.6875,-33.69140625,-43.45703125,-34.66796875,-19.53125
11,1746312965554.5938,-41.015625,-36.62109375,-27.34375,-27.83203125
0,1746312965558.5,-48.33984375,-36.62109375,-39.0625,-15.13671875
1,1746312965562.4062,-28.80859375,-40.0390625,-41.015625,-17.08984375
2,1746312965566.3125,-13.671875,-41.9921875,-32.71484375,-6.8359375
3,1746312965570.2188,0,-43.9453125,-32.2265625,0.9765625
4,1746312965574.125,13.18359375,-40.0390625,-32.2265625,1.953125
5,1746312965578.0312,10.25390625,-39.0625,-32.2265625,12.20703125
6,1746312965581.9375,2.9296875,-41.50390625,-35.15625,20.5078125
7,1746312965585.8438,19.53125,-42.48046875,-38.0859375,42.48046875
8,1746312965589.75,27.83203125,-47.8515625,-39.0625,41.015625
9,1746312965593.6562,20.99609375,-48.828125,-40.0390625,23.92578125
10,1746312965597.5625,16.6015625,-52.734375,-47.36328125,30.76171875
11,1746312965601.4688,16.11328125,-54.19921875,-40.52734375,35.15625
0,1746312965605.375,28.3203125,-52.24609375,-26.85546875,28.80859375
1,1746312965609.2812,22.4609375,-52.24609375,-23.92578125,29.296875
2,1746312965613.1875,14.16015625,-52.24609375,-31.73828125,22.4609375
3,1746312965617.0938,23.92578125,-57.6171875,-43.45703125,18.5546875
4,1746312965621,26.85546875,-55.17578125,-40.52734375,21.484375
5,1746312965624.9062,10.25390625,-52.24609375,-42.96875,8.7890625
6,1746312965628.8125,3.90625,-54.6875,-47.8515625,18.06640625
7,1746312965632.7188,11.71875,-52.24609375,-35.64453125,21.484375
8,1746312965636.625,11.23046875,-52.734375,-36.1328125,6.8359375
9,1746312965640.5312,-6.34765625,-55.6640625,-35.15625,6.34765625
10,1746312965644.4375,-11.71875,-57.6171875,-32.2265625,1.953125
11,1746312965648.3438,-9.765625,-56.15234375,-32.2265625,-7.8125
0,1746312965652.25,2.44140625,-53.22265625,-36.62109375,-0.9765625
1,1746312965656.1562,14.6484375,-49.8046875,-39.0625,35.15625
2,1746312965660.0625,-1.46484375,-48.828125,-33.69140625,8.7890625
3,1746312965663.9688,-11.71875,-56.15234375,-38.0859375,-40.52734375
4,1746312965667.875,-10.7421875,-60.05859375,-37.59765625,-9.27734375
5,1746312965671.7812,-2.9296875,-61.03515625,-32.71484375,0.9765625
